tweet, sentiment_label
b'I liked a @YouTube video https://t.co/F2eJiKf8lf Avengers: Infinity War Cast Reveals REAL Spoilers',Positive
b'RT @guanIintw: They say Marvel Studios\xe2\x80\x99 Avengers: Infinity War is the biggest crossover event in history but have they seen 11 big Wanna On\xe2\x80\xa6',Negative
b'Forget the infinity war.\nDeadpool makes me happy.\n\n#deadpool2\xe2\x81\xa0 \xe2\x81\xa0\xe2\x81\xa0 \xe2\x81\xa0\xe2\x81\xa0 \xe2\x81\xa0 \n#\xe3\x83\x87\xe3\x83\x83\xe3\x83\x89\xe3\x83\x97\xe3\x83\xbc\xe3\x83\xab\xe2\x81\xa0 \xe2\x81\xa0\xe2\x81\xa0 \xe2\x81\xa0\xe2\x81\xa0 \xe2\x81\xa0\n#\xe3\x83\x87\xe3\x83\x83\xe3\x83\x89\xe3\x83\x97\xe3\x83\xbc\xe3\x83\xab2\n\nThank you\xe2\x80\xa6 https://t.co/5fB1mOUJV9',Positive
b'RT @AVG_JP: \xe3\x80\x8e#\xe3\x82\xa2\xe3\x83\x99\xe3\x83\xb3\xe3\x82\xb8\xe3\x83\xa3\xe3\x83\xbc\xe3\x82\xba\xef\xbc\x8f\xe3\x82\xa4\xe3\x83\xb3\xe3\x83\x95\xe3\x82\xa3\xe3\x83\x8b\xe3\x83\x86\xe3\x82\xa3\xe3\x83\xbb\xe3\x82\xa6\xe3\x82\xa9\xe3\x83\xbc\xe3\x80\x8f\xe9\x91\x91\xe8\xb3\x9e\xe5\xbe\x8c\xe3\x81\xab\xe3\x81\xaf\xe6\x80\x9d\xe3\x82\x8f\xe3\x81\x9a\xe5\x85\xb1\xe6\x84\x9f\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x86\xe4\xba\xba\xe3\x82\x82\xe2\x80\xa6\xe2\x9d\x93\n\n\xe6\x9c\x80\xe5\x87\xb6\xe6\x9c\x80\xe6\x82\xaa\xe3\x81\xae\xe6\x95\xb5 #\xe3\x82\xb5\xe3\x83\x8e\xe3\x82\xb9\xf0\x9f\x92\xa5\xe3\x81\xae\xe8\xa4\x87\xe9\x9b\x91\xe3\x81\xaa\xe3\x82\xad\xe3\x83\xa3\xe3\x83\xa9\xe3\x82\xaf\xe3\x82\xbf\xe3\x83\xbc\xe5\x83\x8f\xe3\x81\xab\xe3\x81\xa4\xe3\x81\x84\xe3\x81\xa6\xe5\x88\xb6\xe4\xbd\x9c\xe9\x99\xa3\xe3\x81\x8c\xe8\xaa\x9e\xe3\x82\x8b\xe2\x9d\x97\xef\xb8\x8f\n\n\xe6\x9c\xac\xe7\xb7\xa8\xe3\x81\xa7\xe3\x81\xaf\xe6\x8f\x8f\xe3\x81\x8b\xe3\x82\x8c\xe3\x81\xaa\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\x9f #\xe3\x82\xb5\xe3\x83\x8e\xe3\x82\xb9 \xe3\x81\xae\xe6\x82\xb2\xe3\x81\x97\xe3\x81\x84\xe9\x81\x8e\xe5\x8e\xbb\xe3\x81\xa8\xe3\x81\xaf\xef\xbc\x9f\n\nIGN Japan\xe2\x87\x92https://t\xe2\x80\xa6',Negative
b'Okay but there\xe2\x80\x99s only one infinity war joke in deadpool 2? I recall only the thanos joke',Positive
b'I just published \xe2\x80\x9c@FULL-[HD] Avenger : Infinity war (2018) \xe2\x80\x94 Stream at https://t.co/QPSZPNzTGq\xe2\x80\x9d https://t.co/IT1KUv33To',Negative
b'RT @salvatoreshits: jeremy renner wasn\xe2\x80\x99t in the infinity war because he was filming a movie about grown men playing tag. i swear to god tha\xe2\x80\xa6',Negative
b'86. Avengers: Infinity War (2018)\nDirected by: Joe and Anthony Russo',Negative
b'RT @jaimelsnnister: Dopo la polverizzazione generale alla fine di Infinity War il minimo \xc3\xa8 usare "Another One Bites The Dust" come sottofon\xe2\x80\xa6',Positive
b'RT @80sIeia: Disney: Infinity War is the most ambitious crossover event in history.\n\nInto The Spider-verse: https://t.co/7dygirGCvI',Positive
b'RT @GDtotheTOP: Marvel: "Infinity War is the most ambitious crossover event in history." \n\nMe: https://t.co/40lVAhVcfl',Positive
b'RT @Mister_Praise: Comic Heads,  been a while\n\nBest Super Hero Movie yet \n\nRT for Avengers: Infinity War\nLike for Batman: The Dark Knight h\xe2\x80\xa6',Positive
b'RT @nidaveIIirs: oh my god guys there was a sherlock holmes reference in infinity war this entire time https://t.co/WyHRHobL6R',Negative
b'RT @Iokified: loki and thanos in infinity war https://t.co/CFjUplYEle',Negative
b'RT @GDtotheTOP: Marvel: "Infinity War is the most ambitious crossover event in history." \n\nMe: https://t.co/40lVAhVcfl',Positive
